,,,,,android_avg_rating,android_file_size,android_rating_1,android_rating_2,android_rating_3,android_rating_4,android_rating_5,android_total_ratings,ios_all_ratings,ios_current_ratings,ios_file_size
2016,7,21,17,30,3.9017932415008545,58.0,206305.0,73640.0,122554.0,174065.0,757714.0,1334278.0,108570.0,6842.0,110.0
2016,7,21,17,40,3.9017932415008545,58.0,206305.0,73640.0,122554.0,174065.0,757714.0,1334278.0,108570.0,6842.0,110.0
2016,7,21,17,50,3.9017932415008545,58.0,206305.0,73640.0,122554.0,174065.0,757714.0,1334278.0,108570.0,6842.0,110.0
2016,7,21,18,0,3.9017932415008545,58.0,206305.0,73640.0,122554.0,174065.0,757714.0,1334278.0,108570.0,6842.0,110.0
2016,7,21,18,10,3.9017932415008545,58.0,206305.0,73640.0,122554.0,174065.0,757714.0,1334278.0,108570.0,6842.0,110.0
2016,7,21,18,20,3.9017932415008545,58.0,206305.0,73640.0,122554.0,174065.0,757714.0,1334278.0,108570.0,6842.0,110.0
2016,7,21,18,30,3.9017932415008545,58.0,206305.0,73640.0,122554.0,174065.0,757714.0,1334278.0,108570.0,6842.0,110.0
2016,7,21,18,40,3.9017932415008545,58.0,206305.0,73640.0,122554.0,174065.0,757714.0,1334278.0,108570.0,6842.0,110.0
2016,7,21,18,50,3.9017932415008545,58.0,206305.0,73640.0,122554.0,174065.0,757714.0,1334278.0,108570.0,6842.0,110.0
2016,7,21,19,0,3.9017932415008545,58.0,206305.0,73640.0,122554.0,174065.0,757714.0,1334278.0,108886.0,6842.0,110.0
2016,7,21,19,10,3.9017932415008545,58.0,206305.0,73640.0,122554.0,174065.0,757714.0,1334278.0,108886.0,6842.0,110.0
2016,7,21,19,20,3.9017932415008545,58.0,206305.0,73640.0,122554.0,174065.0,757714.0,1334278.0,108886.0,7231.0,110.0
2016,7,21,19,30,3.9017932415008545,58.0,206305.0,73640.0,122554.0,174065.0,757714.0,1334278.0,108886.0,7231.0,110.0
2016,7,21,19,40,3.9017932415008545,58.0,206305.0,73640.0,122554.0,174065.0,757714.0,1334278.0,108886.0,7231.0,110.0
2016,7,21,19,50,3.9017932415008545,58.0,206305.0,73640.0,122554.0,174065.0,757714.0,1334278.0,108886.0,7231.0,110.0
2016,7,21,20,0,3.904022693634033,58.0,207257.0,73972.0,123459.0,175799.0,764122.0,1344609.0,108886.0,7231.0,110.0
2016,7,21,20,10,3.904022693634033,58.0,207257.0,73972.0,123459.0,175799.0,764122.0,1344609.0,108886.0,7231.0,110.0
2016,7,21,20,20,3.904022693634033,58.0,207257.0,73972.0,123459.0,175799.0,764122.0,1344609.0,108886.0,7231.0,110.0
2016,7,21,20,30,3.904022693634033,58.0,207257.0,73972.0,123459.0,175799.0,764122.0,1344609.0,108886.0,7231.0,110.0
2016,7,21,20,40,3.904022693634033,58.0,207257.0,73972.0,123459.0,175799.0,764122.0,1344609.0,108886.0,7231.0,110.0
2016,7,21,20,50,3.904022693634033,58.0,207257.0,73972.0,123459.0,175799.0,764122.0,1344609.0,108886.0,7231.0,110.0
